"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Monoamine oxidase A","MAOA","P21397","CHEMBL1951","Oxidoreductase","1.0","25 /  11     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","1.0","11 /  45     "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","1.0","9 /  5     "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Enzyme","1.0","6 /  26     "
"Toll-like receptor (TLR7/TLR9)","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","1.0","3 /  3     "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.807322834204","170 /  99     "
"DNA topoisomerase II alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.505302626176","1 /  19     "
"Glyoxalase I","GLO1","Q04760","CHEMBL2424","Enzyme","0.241303240807","0 /  5     "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Unclassified protein","0.217290827894","3 /  4     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.217290827894","68 /  46     "
"Cyclooxygenase-1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.217290827894","14 /  21     "
"Inhibitor of NF-kappa-B kinase (IKK)","IKBKG IKBKB CHUK","Q9Y6K9 O14920 O15111","CHEMBL2111328","Kinase","0.185218735008","0 /  3     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.12128700335","158 /  32     "
"Estradiol 17-beta-dehydrogenase 3","HSD17B3","P37058","CHEMBL4234","Enzyme","0.113285953487","24 /  1     "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.113285953487","3 /  1     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.113285953487","15 /  9     "
"Serine/threonine-protein kinase AKT","AKT1","P31749","CHEMBL4282","Kinase","0.113285953487","51 /  3     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.113285953487","66 /  10     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.113285953487","41 /  22     "
"Carbonic anhydrase VI","CA6","P23280","CHEMBL3025","Lyase","0.113285953487","17 /  16     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.113285953487","156 /  32     "
"Carbonic anhydrase XIV","CA14","Q9ULX7","CHEMBL3510","Lyase","0.113285953487","22 /  19     "
